Entry,Entry Name,Gene Names,Protein names,Organism,Subcellular location [CC],Gene Ontology (cellular component),Gene Ontology IDs,Ensembl
Q8IW41,MAPK5_HUMAN,MAPKAPK5 PRAK,MAP kinase-activated protein kinase 5 (MAPK-activated protein kinase 5) (MAPKAP kinase 5) (MAPKAP-K5) (MAPKAPK-5) (MK-5) (MK5) (EC 2.7.11.1) (p38-regulated/activated protein kinase) (PRAK),Homo sapiens (Human),"SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Note=Translocates to the cytoplasm following phosphorylation and activation. Interaction with ERK3/MAPK6 or ERK4/MAPK4 and phosphorylation at Thr-182, activates the protein kinase activity, followed by translocation to the cytoplasm. Phosphorylation by PKA/PRKACA at Ser-115 also induces nuclear export.",cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; septin cytoskeleton [GO:0032156],GO:0002039; GO:0004674; GO:0004683; GO:0004708; GO:0005516; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006417; GO:0007165; GO:0007265; GO:0009931; GO:0032007; GO:0032156; GO:0032206; GO:0032991; GO:0045944; GO:0046777; GO:0051019; GO:0060999; GO:0090398; GO:0090400; GO:0106310; GO:1901796,ENST00000550735.7 [Q8IW41-2];ENST00000551404.7 [Q8IW41-1];
Q92754,AP2C_HUMAN,TFAP2C,Transcription factor AP-2 gamma (AP2-gamma) (Activating enhancer-binding protein 2 gamma) (Transcription factor ERF-1),Homo sapiens (Human),SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:24413532}.,chromatin [GO:0000785]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],GO:0000785; GO:0000977; GO:0000978; GO:0000981; GO:0001227; GO:0001228; GO:0001826; GO:0001829; GO:0001942; GO:0003334; GO:0003677; GO:0003700; GO:0005634; GO:0005654; GO:0005739; GO:0005829; GO:0006357; GO:0006366; GO:0007267; GO:0008584; GO:0021877; GO:0021987; GO:0030718; GO:0035019; GO:0042127; GO:0045682; GO:0045814; GO:0045944; GO:0048733; GO:0048863; GO:0060598; GO:0060750; GO:0140001; GO:1990837,ENST00000201031.3 [Q92754-1];
O00204,ST2B1_HUMAN,SULT2B1 HSST2,Sulfotransferase 2B1 (EC 2.8.2.2) (Alcohol sulfotransferase) (Hydroxysteroid sulfotransferase 2) (Sulfotransferase family 2B member 1) (Sulfotransferase family cytosolic 2B member 1) (ST2B1),Homo sapiens (Human),"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:12923182, ECO:0000269|PubMed:16855051, ECO:0000269|PubMed:21855633, ECO:0000269|PubMed:28575648}. Microsome {ECO:0000269|PubMed:16855051, ECO:0000269|PubMed:21855633}. Nucleus {ECO:0000269|PubMed:16855051, ECO:0000269|PubMed:21855633}. Note=Phosphorylation of Ser-348 is required for translocation to the nucleus. {ECO:0000269|PubMed:21855633}.",cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; intracellular membrane-bounded organelle [GO:0043231]; nucleus [GO:0005634],GO:0003676; GO:0005634; GO:0005737; GO:0005783; GO:0005829; GO:0008202; GO:0008203; GO:0008285; GO:0015485; GO:0036094; GO:0043231; GO:0045606; GO:0050294; GO:0050427; GO:0051922; GO:0051923; GO:0070062; GO:1990239,ENST00000201586.7 [O00204-1];ENST00000323090.4 [O00204-2];
O00625,PIR_HUMAN,PIR,"Pirin (EC 1.13.11.24) (Probable quercetin 2,3-dioxygenase PIR) (Probable quercetinase)",Homo sapiens (Human),"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:20089166, ECO:0000269|PubMed:9079676}. Cytoplasm {ECO:0000269|PubMed:20089166}. Note=Predominantly localized in dot-like subnuclear structures. Cytoplasmic localization of PIR seems to positively correlate with melanoma progression. {ECO:0000269|PubMed:20089166, ECO:0000269|PubMed:9079676}.",cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],GO:0003712; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006366; GO:0007586; GO:0008127; GO:0016604; GO:0030224; GO:0046872,ENST00000380420.10;ENST00000380421.3;
Q6P1L6,ZN343_HUMAN,ZNF343,Zinc finger protein 343,Homo sapiens (Human),SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.,nucleus [GO:0005634],GO:0000977; GO:0000981; GO:0005634; GO:0006357; GO:0008270; GO:1990837,ENST00000278772.9 [Q6P1L6-1];ENST00000358413.6 [Q6P1L6-3];ENST00000381253.5 [Q6P1L6-3];ENST00000617391.4 [Q6P1L6-2];
Q96KR7,PHAR3_HUMAN,PHACTR3 C20orf101 SCAPIN1,Phosphatase and actin regulator 3 (Scaffold-associated PP1-inhibiting protein) (Scapinin),Homo sapiens (Human),SUBCELLULAR LOCATION: Nucleus matrix. Note=Localized to the nuclear matrix-intermediate filament scaffold. Isoform 2 is also found in some cytoplasmic extensions.,nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654],GO:0003779; GO:0004864; GO:0005654; GO:0016363; GO:0030036,ENST00000355648.8 [Q96KR7-2];ENST00000359926.7 [Q96KR7-4];ENST00000361300.4 [Q96KR7-3];ENST00000371015.6 [Q96KR7-1];ENST00000395636.6 [Q96KR7-2];ENST00000541461.5 [Q96KR7-2];
Q9NVP1,DDX18_HUMAN,DDX18 cPERP-D,ATP-dependent RNA helicase DDX18 (EC 3.6.4.13) (DEAD box protein 18) (Myc-regulated DEAD box protein) (MrDb),Homo sapiens (Human),"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:16963496}. Chromosome {ECO:0000269|PubMed:20813266, ECO:0000269|PubMed:35858569}.",chromosome [GO:0005694]; membrane [GO:0016020]; nucleolus [GO:0005730],GO:0000463; GO:0003723; GO:0003724; GO:0005524; GO:0005694; GO:0005730; GO:0016020; GO:0016887; GO:0071392,ENST00000263239.7;
O75208,COQ9_HUMAN,COQ9 C16orf49 HSPC326 PSEC0129,"Ubiquinone biosynthesis protein COQ9, mitochondrial",Homo sapiens (Human),SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q8K1Z0}. Note=Associates with cardiolipin-rich membranes which leads to the lipid bilayer deformation and then accessing to membrane-bound lipids. {ECO:0000269|PubMed:30661980}.,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; ubiquinone biosynthesis complex [GO:0110142],GO:0005739; GO:0005743; GO:0006120; GO:0006744; GO:0008047; GO:0008289; GO:0019840; GO:0042803; GO:0110142,ENST00000262507.11 [O75208-1];
Q9HCN6,GPVI_HUMAN,GP6,Platelet glycoprotein VI (GPVI) (Glycoprotein 6),Homo sapiens (Human),SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane; Single-pass membrane protein.,cell surface [GO:0009986]; extracellular exosome [GO:0070062]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]; tetraspanin-enriched microdomain [GO:0097197],GO:0002764; GO:0004888; GO:0005518; GO:0005886; GO:0007167; GO:0009986; GO:0030168; GO:0038023; GO:0038063; GO:0038064; GO:0038065; GO:0045121; GO:0070062; GO:0070527; GO:0097197; GO:1901731; GO:1990782,ENST00000310373.7 [Q9HCN6-3];ENST00000333884.2 [Q9HCN6-2];ENST00000417454.5 [Q9HCN6-1];ENST00000610596.1 [Q9HCN6-2];ENST00000610746.4 [Q9HCN6-3];ENST00000611436.4 [Q9HCN6-3];ENST00000612096.1 [Q9HCN6-2];ENST00000612184.4 [Q9HCN6-2];ENST00000612862.1 [Q9HCN6-2];ENST00000613649.4 [Q9HCN6-3];ENST00000613801.1 [Q9HCN6-2];ENST00000614662.4 [Q9HCN6-3];ENST00000614889.1 [Q9HCN6-2];ENST00000615407.4 [Q9HCN6-3];ENST00000616319.1 [Q9HCN6-2];ENST00000616456.1 [Q9HCN6-1];ENST00000617954.4 [Q9HCN6-3];ENST00000619136.4 [Q9HCN6-3];ENST00000621278.1 [Q9HCN6-2];ENST00000622279.4 [Q9HCN6-3];ENST00000622589.4 [Q9HCN6-3];ENST00000622653.1 [Q9HCN6-2];
Q9UBC3,DNM3B_HUMAN,DNMT3B,DNA (cytosine-5)-methyltransferase 3B (Dnmt3b) (EC 2.1.1.37) (DNA methyltransferase HsaIIIB) (DNA MTase HsaIIIB) (M.HsaIIIB),Homo sapiens (Human),"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11735126, ECO:0000269|PubMed:12145218}.",catalytic complex [GO:1902494]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],GO:0000122; GO:0003677; GO:0003714; GO:0003886; GO:0005634; GO:0005654; GO:0008270; GO:0009008; GO:0010628; GO:0032259; GO:0051718; GO:1902494,ENST00000201963.3 [Q9UBC3-6];ENST00000328111.6 [Q9UBC3-1];ENST00000348286.6 [Q9UBC3-3];ENST00000353855.6 [Q9UBC3-2];ENST00000443239.7 [Q9UBC3-8];ENST00000456297.6 [Q9UBC3-7];
P29074,PTN4_HUMAN,PTPN4,Tyrosine-protein phosphatase non-receptor type 4 (EC 3.1.3.48) (Protein-tyrosine phosphatase MEG1) (MEG) (PTPase-MEG1),Homo sapiens (Human),"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:8910369}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:8910369}. Cytoplasm {ECO:0000269|PubMed:20086240, ECO:0000269|PubMed:8910369}.",cytoplasm [GO:0005737]; cytoplasmic side of plasma membrane [GO:0009898]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; nucleoplasm [GO:0005654],GO:0004725; GO:0004726; GO:0005654; GO:0005737; GO:0005829; GO:0005856; GO:0006470; GO:0008092; GO:0009898; GO:0035254,ENST00000263708.7;
Q8IZD9,DOCK3_HUMAN,DOCK3 KIAA0299 MOCA,Dedicator of cytokinesis protein 3 (Modifier of cell adhesion) (Presenilin-binding protein) (PBP),Homo sapiens (Human),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.,cytoplasm [GO:0005737]; cytosol [GO:0005829]; plasma membrane [GO:0005886],GO:0005085; GO:0005096; GO:0005737; GO:0005829; GO:0005886; GO:0007264; GO:0017124; GO:0031267; GO:0048011; GO:0051056,ENST00000266037.10;
Q96RQ1,ERGI2_HUMAN,ERGIC2 ERV41 PTX1 CDA14,Endoplasmic reticulum-Golgi intermediate compartment protein 2,Homo sapiens (Human),"SUBCELLULAR LOCATION: Endoplasmic reticulum-Golgi intermediate compartment membrane; Multi-pass membrane protein. Golgi apparatus, cis-Golgi network membrane; Multi-pass membrane protein. Endoplasmic reticulum membrane; Multi-pass membrane protein. Cytoplasm. Nucleus. Note=Cycles between the endoplasmic reticulum and the Golgi. According to a report, localizes to the nucleus (PubMed:11445006). Another report shows a partial localization in the nucleus (PubMed:17980171). {ECO:0000269|PubMed:11445006, ECO:0000269|PubMed:17980171}.","COPII-coated ER to Golgi transport vesicle [GO:0030134]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleus [GO:0005634]; retrograde transporter complex, Golgi to ER [GO:0061852]; transporter complex [GO:1990351]",GO:0005634; GO:0005730; GO:0005737; GO:0005783; GO:0005789; GO:0005794; GO:0006888; GO:0006890; GO:0016020; GO:0030134; GO:0033116; GO:0043231; GO:0061852; GO:1990351,ENST00000360150.9;
Q9H0D6,XRN2_HUMAN,XRN2,5'-3' exoribonuclease 2 (EC 3.1.13.-) (DHM1-like protein) (DHP protein),Homo sapiens (Human),"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:12429849}.",aggresome [GO:0016235]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],GO:0000175; GO:0000956; GO:0001147; GO:0003723; GO:0004518; GO:0004534; GO:0005634; GO:0005654; GO:0005730; GO:0006364; GO:0006369; GO:0006396; GO:0006397; GO:0006401; GO:0007283; GO:0008270; GO:0008409; GO:0016020; GO:0016070; GO:0016235; GO:0021766; GO:0030182; GO:0042802; GO:0060041,ENST00000377191.5 [Q9H0D6-1];
Q9HAQ2,KIF9_HUMAN,KIF9,Kinesin-like protein KIF9,Homo sapiens (Human),"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000305}. Cell projection, cilium, flagellum {ECO:0000250|UniProtKB:Q9WV04}. Cytoplasm, cytoskeleton, flagellum axoneme {ECO:0000250|UniProtKB:Q9WV04}.",cytoplasm [GO:0005737]; kinesin complex [GO:0005871]; microtubule [GO:0005874]; podosome [GO:0002102]; sperm flagellum [GO:0036126]; vesicle [GO:0031982],GO:0002102; GO:0003777; GO:0005524; GO:0005737; GO:0005871; GO:0005874; GO:0007018; GO:0008017; GO:0016887; GO:0022617; GO:0031982; GO:0036126; GO:0042802; GO:0071801; GO:1901317; GO:1903008,ENST00000265529.7 [Q9HAQ2-1];ENST00000444589.6 [Q9HAQ2-2];ENST00000452770.6 [Q9HAQ2-1];ENST00000684063.1 [Q9HAQ2-1];
P03951,FA11_HUMAN,F11,Coagulation factor XI (FXI) (EC 3.4.21.27) (Plasma thromboplastin antecedent) (PTA) [Cleaved into: Coagulation factor XIa heavy chain; Coagulation factor XIa light chain],Homo sapiens (Human),SUBCELLULAR LOCATION: Secreted.,extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; membrane [GO:0016020]; plasma membrane [GO:0005886],GO:0004252; GO:0005576; GO:0005615; GO:0005886; GO:0007596; GO:0008201; GO:0016020; GO:0031639; GO:0042802; GO:0051919; GO:0070009; GO:0070062,ENST00000403665.7 [P03951-1];
Q96KQ4,ASPP1_HUMAN,PPP1R13B ASPP1 KIAA0771,Apoptosis-stimulating of p53 protein 1 (Protein phosphatase 1 regulatory subunit 13B),Homo sapiens (Human),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11684014}. Nucleus {ECO:0000269|PubMed:11684014}. Note=Predominantly cytoplasmic. Some fraction is nuclear.,cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886],GO:0002039; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005886; GO:0042981; GO:0045786; GO:0072332,ENST00000202556.14;
Q9UNZ2,NSF1C_HUMAN,NSFL1C UBXN2C,NSFL1 cofactor p47 (UBX domain-containing protein 2C) (p97 cofactor p47),Homo sapiens (Human),"SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:O35987}. Golgi apparatus, Golgi stack {ECO:0000250|UniProtKB:O35987}. Chromosome {ECO:0000250|UniProtKB:O35987}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:O35987}. Note=Predominantly nuclear in interphase cells. Bound to the axial elements of sex chromosomes in pachytene spermatocytes. A small proportion of the protein is cytoplasmic, associated with Golgi stacks. Localizes to centrosome during mitotic prophase and metaphase. {ECO:0000250|UniProtKB:O35987}.",centrosome [GO:0005813]; chromosome [GO:0005694]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi stack [GO:0005795]; nucleus [GO:0005634]; VCP-NSFL1C complex [GO:1990730],GO:0000045; GO:0000132; GO:0005634; GO:0005694; GO:0005737; GO:0005795; GO:0005813; GO:0005829; GO:0006511; GO:0007030; GO:0008289; GO:0031468; GO:0043130; GO:0043161; GO:0046604; GO:0061025; GO:1904780; GO:1990730,ENST00000216879.9 [Q9UNZ2-1];ENST00000353088.6 [Q9UNZ2-4];ENST00000476071.5 [Q9UNZ2-5];
Q14112,NID2_HUMAN,NID2,Nidogen-2 (NID-2) (Osteonidogen),Homo sapiens (Human),"SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane.",basement membrane [GO:0005604]; collagen-containing extracellular matrix [GO:0062023]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; plasma membrane [GO:0005886],GO:0005201; GO:0005509; GO:0005518; GO:0005576; GO:0005604; GO:0005615; GO:0005886; GO:0007155; GO:0007160; GO:0062023; GO:0070062; GO:0071711,ENST00000216286.10 [Q14112-1];
O14965,AURKA_HUMAN,AURKA AIK AIRK1 ARK1 AURA AYK1 BTAK IAK1 STK15 STK6,Aurora kinase A (EC 2.7.11.1) (Aurora 2) (Aurora/IPL1-related kinase 1) (ARK-1) (Aurora-related kinase 1) (Breast tumor-amplified kinase) (Ipl1- and aurora-related kinase 1) (Serine/threonine-protein kinase 15) (Serine/threonine-protein kinase 6) (Serine/threonine-protein kinase Ayk1) (Serine/threonine-protein kinase aurora-A),Homo sapiens (Human),"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:12576638, ECO:0000269|PubMed:13678582, ECO:0000269|PubMed:17229885, ECO:0000269|PubMed:17726514, ECO:0000269|PubMed:19357306, ECO:0000269|PubMed:21225229, ECO:0000269|PubMed:22014574, ECO:0000269|PubMed:23213400, ECO:0000269|PubMed:25657325, ECO:0000269|PubMed:30538148, ECO:0000269|PubMed:9153231}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000269|PubMed:12576638, ECO:0000269|PubMed:13678582, ECO:0000269|PubMed:17726514, ECO:0000269|PubMed:19351716, ECO:0000269|PubMed:25657325, ECO:0000269|PubMed:26246606, ECO:0000269|PubMed:9153231, ECO:0000269|PubMed:9606188}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000250|UniProtKB:P97477}. Cell projection, neuron projection {ECO:0000250|UniProtKB:P97477}. Cell projection, cilium {ECO:0000269|PubMed:17604723}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000269|PubMed:17604723}. Basolateral cell membrane {ECO:0000250|UniProtKB:F1PNY0}. Note=Detected at the neurite hillock in developing neurons (By similarity). Localizes at the centrosome in mitotic cells from early prophase until telophase, but also localizes to the spindle pole MTs from prophase to anaphase (PubMed:17229885, PubMed:21225229, PubMed:9606188). Colocalized with SIRT2 at centrosome (PubMed:22014574). Moves to the midbody during both telophase and cytokinesis (PubMed:17726514). Associates with both the pericentriolar material (PCM) and centrioles (PubMed:22014574). The localization to the spindle poles is regulated by AAAS (PubMed:26246606). {ECO:0000250|UniProtKB:P97477, ECO:0000269|PubMed:17229885, ECO:0000269|PubMed:17726514, ECO:0000269|PubMed:21225229, ECO:0000269|PubMed:22014574, ECO:0000269|PubMed:26246606, ECO:0000269|PubMed:9606188}.",axon hillock [GO:0043203]; basolateral plasma membrane [GO:0016323]; centriole [GO:0005814]; centrosome [GO:0005813]; chromosome passenger complex [GO:0032133]; ciliary basal body [GO:0036064]; cytosol [GO:0005829]; germinal vesicle [GO:0042585]; glutamatergic synapse [GO:0098978]; kinetochore [GO:0000776]; meiotic spindle [GO:0072687]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; midbody [GO:0030496]; mitotic spindle [GO:0072686]; mitotic spindle pole [GO:0097431]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; postsynaptic density [GO:0014069]; pronucleus [GO:0045120]; spindle [GO:0005819]; spindle midzone [GO:0051233]; spindle pole [GO:0000922]; spindle pole centrosome [GO:0031616],GO:0000086; GO:0000278; GO:0000776; GO:0000922; GO:0004672; GO:0004674; GO:0004712; GO:0005524; GO:0005634; GO:0005654; GO:0005813; GO:0005814; GO:0005819; GO:0005829; GO:0005874; GO:0006468; GO:0006915; GO:0007051; GO:0007052; GO:0007057; GO:0007100; GO:0009611; GO:0009948; GO:0010389; GO:0010629; GO:0014069; GO:0015630; GO:0016323; GO:0018105; GO:0019901; GO:0030496; GO:0031616; GO:0031625; GO:0031647; GO:0032091; GO:0032133; GO:0032436; GO:0032465; GO:0035175; GO:0036064; GO:0042585; GO:0043066; GO:0043161; GO:0043203; GO:0045120; GO:0045840; GO:0045931; GO:0046605; GO:0046777; GO:0046982; GO:0048471; GO:0051233; GO:0051301; GO:0051642; GO:0061523; GO:0071539; GO:0072686; GO:0072687; GO:0090141; GO:0097421; GO:0097431; GO:0098978; GO:0106310; GO:0140677; GO:1900195; GO:1901796; GO:1990138,ENST00000312783.10;ENST00000347343.6;ENST00000371356.6;ENST00000395911.5;ENST00000395913.7;ENST00000395914.5;ENST00000395915.8;
P63167,DYL1_HUMAN,DYNLL1 DLC1 DNCL1 DNCLC1 HDLC1,"Dynein light chain 1, cytoplasmic (8 kDa dynein light chain) (DLC8) (Dynein light chain LC8-type 1) (Protein inhibitor of neuronal nitric oxide synthase) (PIN)",Homo sapiens (Human),"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:14654843}. Chromosome {ECO:0000269|PubMed:37696958}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:20921139}. Nucleus {ECO:0000269|PubMed:15891768}. Mitochondrion {ECO:0000269|PubMed:18084006}. Note=Upon induction of apoptosis translocates together with BCL2L11 to mitochondria (PubMed:18084006). Recruited to DNA double-strand breaks (DSBs) by TP53BP1 when phosphorylated at Ser-88 (PubMed:37696958). {ECO:0000269|PubMed:18084006, ECO:0000269|PubMed:37696958}.",axon cytoplasm [GO:1904115]; centrosome [GO:0005813]; ciliary tip [GO:0097542]; cilium [GO:0005929]; cytoplasm [GO:0005737]; cytoplasmic dynein complex [GO:0005868]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; dynein complex [GO:0030286]; ficolin-1-rich granule membrane [GO:0101003]; kinetochore [GO:0000776]; membrane [GO:0016020]; microtubule [GO:0005874]; mitochondrion [GO:0005739]; mitotic spindle [GO:0072686]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; site of double-strand break [GO:0035861]; tertiary granule membrane [GO:0070821],GO:0000776; GO:0004857; GO:0005634; GO:0005737; GO:0005739; GO:0005813; GO:0005829; GO:0005856; GO:0005868; GO:0005874; GO:0005886; GO:0005929; GO:0006915; GO:0006974; GO:0007286; GO:0016020; GO:0019899; GO:0021762; GO:0030286; GO:0035721; GO:0035774; GO:0035861; GO:0036487; GO:0042326; GO:0042802; GO:0044458; GO:0044877; GO:0045019; GO:0045505; GO:0060703; GO:0070821; GO:0072686; GO:0097110; GO:0097542; GO:0101003; GO:0110027; GO:1904115,ENST00000242577.11;ENST00000392508.2;ENST00000392509.6;ENST00000548342.5;ENST00000549989.1;
Q8TDY4,ASAP3_HUMAN,ASAP3 DDEFL1 UPLC1,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 3 (Development and differentiation-enhancing factor-like 1) (Protein up-regulated in liver cancer 1)",Homo sapiens (Human),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14654939}.,cytosol [GO:0005829]; focal adhesion [GO:0005925]; intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; ruffle [GO:0001726],GO:0001726; GO:0005096; GO:0005654; GO:0005829; GO:0005925; GO:0008270; GO:0016477; GO:0043231; GO:0043547; GO:0051492,ENST00000336689.8 [Q8TDY4-1];ENST00000437606.6 [Q8TDY4-3];ENST00000495646.5 [Q8TDY4-2];ENST00000634513.1 [Q8TDY4-2];ENST00000634561.2 [Q8TDY4-1];ENST00000635198.1 [Q8TDY4-3];
Q9NXR5,ANR10_HUMAN,ANKRD10,Ankyrin repeat domain-containing protein 10,Homo sapiens (Human),,nucleoplasm [GO:0005654],GO:0005654; GO:0030941; GO:0045036,ENST00000267339.6 [Q9NXR5-1];ENST00000310847.8 [Q9NXR5-2];
P12272,PTHR_HUMAN,PTHLH PTHRP,Parathyroid hormone-related protein (PTH-rP) (PTHrP) (Parathyroid hormone-like protein) (PLP) [Cleaved into: PTHrP[1-36]; PTHrP[38-94]; Osteostatin (PTHrP[107-139])],Homo sapiens (Human),SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:3616618}. Cytoplasm {ECO:0000269|PubMed:12852260}. Nucleus {ECO:0000269|PubMed:12852260}.,cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; nucleoplasm [GO:0005654],GO:0001501; GO:0002076; GO:0005179; GO:0005576; GO:0005615; GO:0005654; GO:0005737; GO:0005794; GO:0005829; GO:0007189; GO:0007267; GO:0007565; GO:0008284; GO:0008285; GO:0008544; GO:0010468; GO:0030282; GO:0032330; GO:0032331; GO:0046058; GO:0051428; GO:0061182,ENST00000201015.8 [P12272-2];ENST00000395868.7 [P12272-2];ENST00000395872.5 [P12272-1];ENST00000535992.5 [P12272-2];ENST00000538310.1 [P12272-3];ENST00000539239.5 [P12272-1];ENST00000545234.6 [P12272-1];
Q9P2N2,RHG28_HUMAN,ARHGAP28 KIAA1314,Rho GTPase-activating protein 28 (Rho-type GTPase-activating protein 28),Homo sapiens (Human),,cell junction [GO:0030054]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654],GO:0005096; GO:0005654; GO:0005737; GO:0005829; GO:0007165; GO:0030054; GO:0030833; GO:0051056; GO:0051497,ENST00000262227.7 [Q9P2N2-2];ENST00000314319.7 [Q9P2N2-5];ENST00000383472.9 [Q9P2N2-1];ENST00000419673.6 [Q9P2N2-5];ENST00000532996.5 [Q9P2N2-3];
Q8NBS3,S4A11_HUMAN,SLC4A11 BTR1,Solute carrier family 4 member 11 (Sodium borate cotransporter 1) (NaBC1),Homo sapiens (Human),"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18024964, ECO:0000269|PubMed:25007886, ECO:0000269|PubMed:31273259}; Multi-pass membrane protein {ECO:0000255}. Basolateral cell membrane {ECO:0000269|PubMed:23813972}; Multi-pass membrane protein {ECO:0000255}.",apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; plasma membrane [GO:0005886]; vesicle membrane [GO:0012506],GO:0005272; GO:0005372; GO:0005452; GO:0005886; GO:0006814; GO:0006820; GO:0012506; GO:0015078; GO:0015106; GO:0015252; GO:0015293; GO:0015701; GO:0016323; GO:0016324; GO:0030003; GO:0034599; GO:0042044; GO:0046713; GO:0046715; GO:0046983; GO:0050801; GO:0051881; GO:0055085; GO:0071476; GO:1902600; GO:2000739,ENST00000380056.7 [Q8NBS3-1];ENST00000380059.7 [Q8NBS3-4];ENST00000642402.1 [Q8NBS3-3];
P48378,RFX2_HUMAN,RFX2,DNA-binding protein RFX2 (Regulatory factor X 2),Homo sapiens (Human),"SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:B2GV50, ECO:0000255|PROSITE-ProRule:PRU00858}. Cytoplasm {ECO:0000250|UniProtKB:B2GV50}. Note=Mainly expressed in the nucleus and at lower level in cytoplasm. {ECO:0000250|UniProtKB:B2GV50}.",chromatin [GO:0000785]; cytoplasm [GO:0005737]; nucleus [GO:0005634],GO:0000785; GO:0000978; GO:0000981; GO:0001228; GO:0001675; GO:0003677; GO:0003700; GO:0005634; GO:0005737; GO:0006357; GO:0007286; GO:0060271; GO:1990830; GO:1990837,ENST00000303657.10 [P48378-1];ENST00000359161.7 [P48378-1];ENST00000592546.5 [P48378-2];
